team,weight
packers,260
packers,271
packers,258
packers,263
packers,267
packers,254
packers,255
packers,250
packers,248
packers,240
packers,254
packers,275
packers,270
packers,225
packers,222
packers,230
packers,225
cowboys,250
cowboys,255
cowboys,255
cowboys,264
cowboys,250
cowboys,265
cowboys,245
cowboys,252
cowboys,266
cowboys,246
cowboys,251
cowboys,263
cowboys,248
cowboys,228
cowboys,221
cowboys,223
cowboys,220
broncos,270
broncos,250
broncos,281
broncos,273
broncos,257
broncos,264
broncos,233
broncos,254
broncos,268
broncos,252
broncos,256
broncos,265
broncos,252
broncos,256
broncos,259
broncos,265
broncos,241
dolphins,247
dolphins,249
dolphins,255
dolphins,247
dolphins,244
dolphins,245
dolphins,249
dolphins,260
dolphins,217
dolphins,208
dolphins,228
dolphins,253
dolphins,249
dolphins,223
dolphins,221
dolphins,228
dolphins,271
